餐廳名稱(必填),地址,電話,營業時間,全/部分,分類,餐點名稱(必填),食用後是否有不適？(必填),不適症狀為何？(選填),其他想說的話(選填)
撒福豆無麩質蔬食餐廳,台北市大安區忠孝東路四段216巷16號 2樓之3,02-87734268,"11:30-20:00, 星期一二店休",全,蔬食餐廳,"漢堡排蔬咖哩, 咖哩飯，北海道雪粉，甜點",否,,
茹絲葵牛排館(台北內湖店),台北市樂群三路301號3樓,02-85015900,"11:30-15:00,17:30-22:30",部份,牛排館,蠻多的耶，主要是告訴他們有過敏，他們會拿出gf菜單,否,,
茹絲葵牛排館(台北民生店),台北市民生東路三段135號2樓,02-2545-8888,"11:30-15:00,17:30-23:00",部份,牛排館,,,,
茹絲葵牛排館(台中店),台中市台灣大道二段501號26樓,04-2323-2872,"11:30-15:00,17:30-22:30",部份,牛排館,,,,
茹絲葵牛排館(高雄店),高雄市中正四路211號25樓之3,07-241-8888,"12:00-15:00,17:30-23:00",部份,牛排館,,,,
甜野新星,台北市信義區忠孝東路四段553巷22弄13號,02-27648893,週一至週五 11:00-19:00;週六、日以及國定假日 11:00-19:00,部份,甜點,銅鑼燒 月餅 藍莓蛋糕,否,,
喜來登十二廚,台北市中正區忠孝東路一段12號,02-23211818,"06:30-10:00,11:30-14:30,15:00-17:00,18:00-21:30",部份,飯店餐廳,提供兩種無麩質磅蛋糕，而且還算好吃,否,,
,,,,,,,,,
莘咖哩Swarakchit,台南市東區小東路236號,0978 935 817,周二店休,部份,印度料理,,否,,台南的餐廳，是印度料理，只要說明自己有麩質過敏，店員和廚師都曉得，他們知道gluten
歐嬤德式美食 哥德店,台北市大安區辛亥路一段30號,02-2362-0060,09:00-21:00,部份,西式,,,,
Oma's deli deli,台北市大安區仁愛路4段406-1號,02-2700-0857,0830-2100,部份,西式,無麩菜單,否,,好吃
Plants,台北市大安區復興南路一段253巷10號,02-27845677,周一店休(查官網),全,蔬食餐廳,所有餐點,否,,台北市大安區復興南路一段253巷10號1樓
W hotel Woo bar,台北市信義區忠孝東路五段10號10F,02-77038887,星期日~四 10:30-2200; 星期五六 10:30-01:00,提供無麩質菜單,飯店餐廳,GF menu的牛排,否,,"W hotel Woo Bar 有gluten free menu,員工訓練也ok~~~"
腰果花砧板原食料理-天母加盟店,台北市士林區中山北路七段37號,02-28771837,11:00-21:00,全,,全部無麩質,否,,腰果花砧板原食料理天母店為加盟店. 可使用外送平台點餐.
腰果花砧板原食料理-新竹本店,新竹市東區公道五路二段267號,03-5711319,"11:00-15:00;17:30-21:00, 星期二店休",全,,,,,
粮心聚落,新北市永和區文化路44號,02-86602479,12:00-21:00,部份,蔬食餐廳,咖哩飯、脆皮米雞蛋糕、水果冰淇淋,否,,餐點好吃以外，也販售玄米餅、米穀粉、米鬆餅粉、糙米麵、100%純米粉及無麩醬油等，特別推薦手工鹽鹵豆腐。
鼎泰豐(信義店),台北市信義路194號,02-23218928,週一至週五11:30~21:00　週六、日及例假日10:30~21:00,提供無麩質菜單,中式,"有無麩質菜單,需避開含有醬油的餐點",不確定,,"點餐時可以跟服務生說有麩質過敏,麻煩廚師製作餐點前清洗用具. 原盅雞湯會造成腦霧."
鼎泰豐(SOGO復興館),台北市忠孝東路三段300號B2,02-87720528,週日至週四10:00~21:30　週五、六及例假日前夕10:00~22:00,提供無麩質菜單,中式,,,,
鼎泰豐(SOGO天母店),台北市士林區中山北路六段77號B1,02-28338900,週一至週五 10:30~21:30　週六、日及例假日 10:00~21:30,提供無麩質菜單,中式,,,,
鼎泰豐(台北101店),台北市市府路45號B1 ,02-81017799,週一至週日11:00~21:00,提供無麩質菜單,中式,,,,
鼎泰豐(新光三越南西店),台北市南京西路12號B2,02-25111555,週一至週日11:00~21:30,提供無麩質菜單,中式,,,,
鼎泰豐(新光三越A4店),台北市松高路19號B2,02-23452528,週一至週日11:00~21:30,提供無麩質菜單,中式,,,,
鼎泰豐(新光三越A13店),台北市松仁路58號1樓,02-87805200,週一至週日11:00~21:30,提供無麩質菜單,中式,,,,
鼎泰豐(新生店),台北市信義路二段277號,02-23952395,週一至週五11:00~20:30　週六、日及例假日9:30~20:30,提供無麩質菜單,中式,,,,
鼎泰豐(大遠百板橋店),新北市板橋區新站路28號B1,02-89512222,週一至週日11:00~21:30,提供無麩質菜單,中式,,,,
鼎泰豐(大遠百新竹店),新竹市西大路323號B1,03-5236222,週一至週日11:00~21:30,提供無麩質菜單,中式,,,,
鼎泰豐(大遠百台中店),台中市西屯區台灣大道三段251號B2,04-22599500,週一至週五11:00~21:30　週六、日及例假日10:30~21:30,提供無麩質菜單,中式,,,,
鼎泰豐(漢神巨蛋購物廣場),高雄市左營區博愛二路777號B1 ,07-5533312,週一至週五11:00~21:30　週六、日及例假日10:30~21:30,提供無麩質菜單,中式,,,,
粵亮廣式料理,台北市南港區忠孝東路七段359號8樓,02-6615 6528,"午餐11:30 - 14:00, 晚餐 17:30 - 21:00",客製套餐需預訂,飯店中餐廳,,,,
起士公爵(京站時尚廣場 B3F),台北市大同區承德路一段1號 B3F ,,"週五至週六 11:00-22:00, 週日至週四 11:00-21:30, ",部份,甜點,,,,
起士公爵(台北新光三越信義店A11),台北市信義區松壽路11號 B2F,,"週五至週六 11:00-22:00,週日至週四 11:00-21:30",部份,甜點,,,,
起士公爵(台中新光三越中港店),台中市西屯區台灣大道三段301號 B2F,0938-859-809,"週一至週五 11:00-22:00,週六至週日 10:30-22:00",部份,甜點,,,,
起士公爵(台南永康公爵1號店),台南市永康區中山南路436巷11號1樓,06-303-5063,週一至週五 12:00-19:00; 週六至週日 11:00-19:00,部份,甜點,,,,
起士公爵(台南新光三越新天地),台南市中西區西門路一段658號 B2F,,11:00-22:00,部份,甜點,,,,
佰樂健有機生活館(大直店),台北市中山區敬業二路69巷69號,02-85012259,0700-2100,部份,蔬食餐廳,,,,
無麩質會館,台北市中山區農安街196號,02-25082567,10:30–18:30 星期日一店休,全,蔬食餐廳,,,,
真實手作,新北市淡水區中正路11巷9號,02-26227450,"11:30-15:00,17:30-21:30, 星期一店休",部份,餐廳,,,,
潔暘Vegan Taipei,台北市大安區瑞安街130號,02-2703-2180,"星期一~六 11:45-20:15, 星期日12:00-17:15",部份,蔬食餐廳,,,,
Deja Vu轉角遇見幸福,台中市龍井區藝術南街3巷6-12,09-88736263,"15:00-20:30, 星期一店休",部份,咖啡廳,,,,
琵央卡 Bianca,台中市龍井區藝術北街6巷6號,04-26323390,星期四五六日  11:00–22:00,部份,西式,目前無麩質是燉飯 套餐價是460～480， 點餐時，請跟服務人員說是需無麩質，因為湯品，甜點不同， 餐點也可單點，我們蔬菜是自家農場無農藥蔬菜，以上給您參考,,,
巧米巧克手作甜點,高雄市苓雅區泰順街47號,07-2235554,11:00-20:00 星期三店休,部份,咖啡廳,,,,
香茅廚房(花蓮),花蓮縣花蓮市民國路151-1號,03-8322685,"1130-1400;1730-2000, 星期一二店休",部份,泰式料理,"除了月亮蝦餅外都是GF,未使用GF認證魚露",,,
少女食代 - Lady Foodie Lab,台北市忠孝東路4段76號11樓之6室,無,星期一~五12:00-13:30; 17:00-18:00,全,便當,"每餐限定60份,菜單每週更換,可參閱https://www.facebook.com/ladyfoodielab",,,
黑露露純植咖啡店Vegan-Nest Café,台南市中西區和真街18號,09-78770766,12月重新營業,全,蔬食餐廳,,,,
天鍋宴火鍋(天母店),台北市士林區天母北路66-1號,02-28733466,11:00-23:00,部份,火鍋店,"原味湯頭safe,避開加工品,請自備醬料",,,
天鍋宴火鍋(芝山店),台北市士林區中山北路六段35巷27號,02-28311157,11:00-23:30,部份,火鍋店,"原味湯頭safe,避開加工品,請自備醬料",,,
天鍋宴火鍋(大直店),台北市中山區樂群三路53號1樓,02-85011137,11:00-23:30,部份,火鍋店,"原味湯頭safe,避開加工品,請自備醬料",,,
天鍋宴火鍋(西湖店),台北市內湖區環山路一段12號,02-26581233,11:00-23:30,部份,火鍋店,"原味湯頭safe,避開加工品,請自備醬料",,,
Dela kaffee,台北市松山區南京東路五段250巷2弄39號,02-27480069,"星期一二1400-1800, 星期三~日1000-1800",部份,"咖啡廳,素食",,,,
金色漫步無麩質烘焙嚴選咖啡,彰化縣彰化市仁愛路122號,04-7284168,星期二~六12:30–19:30,全,咖啡廳,,,,
犬首燒(台北松山店),臺北市松山區南京東路五段23巷6弄1之1號,09-72818867,"11:30-20:00,星期天店休",全,點心,,,,
犬首燒(台中店),台中市北平路三段20號,09-08884567,"13:00-23:00,星期天店休",全,點心,,,,
犬首燒(台南店),台南市中西區民族路二段407號,09-55820621,"11:30-18:30,星期一電休",全,點心,,,,
恬沁咖啡,新北市林口區仁愛路一段272巷18號,09-89307736,"10:00-1800,星期四店休",部份,咖啡廳,,,,
莫夏印度餐廳 Moksha Indian Restaurant ,台北市士林區中山北路六段138號,02-28347050,星期一17:30-21:30; 星期二~日11:30-14:30; 17:30-21:30,部份,印度料理,"可以直接問餐廳經理,那一道是gluten free的",,,
樂米鬆餅,桃園市龜山區光明街290巷20號18號,09-33851000,星期三-五 13:30-17:00,全,甜點,,,,